Categoria,Item,Valor
transacao_pais,Christmas Island,
transacao_pais,Christmas Island - count,8
transacao_pais,Cocos (Keeling) Islands,
transacao_pais,Cocos (Keeling) Islands - count,4
transacao_pais,Colombia,
transacao_pais,Colombia - count,7
transacao_pais,Comoros,
transacao_pais,Comoros - count,6
transacao_pais,Congo,
transacao_pais,Congo - count,7
transacao_pais,Cook Islands,
transacao_pais,Cook Islands - count,4
transacao_pais,Costa Rica,
transacao_pais,Costa Rica - count,3
transacao_pais,Cote d'Ivoire,
transacao_pais,Cote d'Ivoire - count,5
transacao_pais,Croatia,
transacao_pais,Croatia - count,9
transacao_pais,Cuba,
transacao_pais,Cuba - count,4
transacao_pais,Cyprus,
transacao_pais,Cyprus - count,6
transacao_pais,Czech Republic,
transacao_pais,Czech Republic - count,4
transacao_pais,Denmark,
transacao_pais,Denmark - count,5
transacao_pais,Djibouti,
transacao_pais,Djibouti - count,6
transacao_pais,Dominica,
transacao_pais,Dominica - count,3
transacao_pais,Dominican Republic,
transacao_pais,Dominican Republic - count,4
transacao_pais,Ecuador,
transacao_pais,Ecuador - count,4
transacao_pais,Egypt,
transacao_pais,Egypt - count,3
transacao_pais,El Salvador,
transacao_pais,El Salvador - count,9
transacao_pais,Equatorial Guinea,
transacao_pais,Equatorial Guinea - count,5
transacao_pais,Eritrea,
transacao_pais,Eritrea - count,5
transacao_pais,Estonia,
transacao_pais,Estonia - count,3
transacao_pais,Falkland Islands (Malvinas),
transacao_pais,Falkland Islands (Malvinas) - count,2
transacao_pais,Faroe Islands,
transacao_pais,Faroe Islands - count,5
transacao_pais,Fiji,
transacao_pais,Fiji - count,5
transacao_pais,Finland,
transacao_pais,Finland - count,2
transacao_pais,France,
transacao_pais,France - count,6
transacao_pais,French Guiana,
transacao_pais,French Guiana - count,5
transacao_pais,French Polynesia,
transacao_pais,French Polynesia - count,9
transacao_pais,French Southern Territories,
transacao_pais,French Southern Territories - count,2
transacao_pais,Gabon,
transacao_pais,Gabon - count,1
transacao_pais,Gambia,
transacao_pais,Gambia - count,5
transacao_pais,Georgia,
transacao_pais,Georgia - count,3
transacao_pais,Germany,
transacao_pais,Germany - count,4
transacao_pais,Ghana,
transacao_pais,Ghana - count,5
transacao_pais,Gibraltar,
transacao_pais,Gibraltar - count,1
transacao_pais,Greenland,
transacao_pais,Greenland - count,8
transacao_pais,Grenada,
transacao_pais,Grenada - count,3
transacao_pais,Guadeloupe,
transacao_pais,Guadeloupe - count,4
transacao_pais,Guam,
transacao_pais,Guam - count,4
transacao_pais,Guatemala,
transacao_pais,Guatemala - count,6
transacao_pais,Guernsey,
transacao_pais,Guernsey - count,4
transacao_pais,Guinea,
transacao_pais,Guinea - count,1
transacao_pais,Guinea-Bissau,
transacao_pais,Guinea-Bissau - count,4
transacao_pais,Guyana,
transacao_pais,Guyana - count,3
transacao_pais,Haiti,
transacao_pais,Haiti - count,6
transacao_pais,Heard Island and McDonald Islands,
transacao_pais,Heard Island and McDonald Islands - count,3
transacao_pais,Holy See (Vatican City State),
transacao_pais,Holy See (Vatican City State) - count,4
transacao_pais,Honduras,
transacao_pais,Honduras - count,6
transacao_pais,Hong Kong,
transacao_pais,Hong Kong - count,4
transacao_pais,Hungary,
transacao_pais,Hungary - count,4
transacao_pais,Iceland,
transacao_pais,Iceland - count,2
transacao_pais,India,
transacao_pais,India - count,3
transacao_pais,Indonesia,
transacao_pais,Indonesia - count,3
transacao_pais,Iran,
transacao_pais,Iran - count,5
transacao_pais,Iraq,
transacao_pais,Iraq - count,6
transacao_pais,Ireland,
transacao_pais,Ireland - count,7
transacao_pais,Isle of Man,
transacao_pais,Isle of Man - count,6
transacao_pais,Israel,
transacao_pais,Israel - count,3
transacao_pais,Italy,
transacao_pais,Italy - count,5
transacao_pais,Jamaica,
transacao_pais,Jamaica - count,2
transacao_pais,Japan,
transacao_pais,Japan - count,7
transacao_pais,Jersey,
transacao_pais,Jersey - count,3
transacao_pais,Jordan,
transacao_pais,Jordan - count,4
transacao_pais,Kazakhstan,
transacao_pais,Kazakhstan - count,2
transacao_pais,Kenya,
transacao_pais,Kenya - count,5
transacao_pais,Kiribati,
transacao_pais,Kiribati - count,4
transacao_pais,Korea,
transacao_pais,Korea - count,7
transacao_pais,Kuwait,
transacao_pais,Kuwait - count,9
transacao_pais,Kyrgyz Republic,
transacao_pais,Kyrgyz Republic - count,3
transacao_pais,Lao People's Democratic Republic,
transacao_pais,Lao People's Democratic Republic - count,2
transacao_pais,Latvia,
transacao_pais,Latvia - count,7
transacao_pais,Lebanon,
transacao_pais,Lebanon - count,4
transacao_pais,Lesotho,
transacao_pais,Lesotho - count,3
transacao_pais,Liberia,
transacao_pais,Liberia - count,3
transacao_pais,Libyan Arab Jamahiriya,
transacao_pais,Libyan Arab Jamahiriya - count,6
transacao_pais,Liechtenstein,
transacao_pais,Liechtenstein - count,5
transacao_pais,Lithuania,
transacao_pais,Lithuania - count,2
transacao_pais,Luxembourg,
transacao_pais,Luxembourg - count,5
transacao_pais,Macao,
transacao_pais,Macao - count,3
transacao_pais,Madagascar,
transacao_pais,Madagascar - count,2
transacao_pais,Malawi,
transacao_pais,Malawi - count,3
transacao_pais,Maldives,
transacao_pais,Maldives - count,5
transacao_pais,Mali,
transacao_pais,Mali - count,1
transacao_pais,Malta,
transacao_pais,Malta - count,2
transacao_pais,Marshall Islands,
transacao_pais,Marshall Islands - count,3
transacao_pais,Martinique,
transacao_pais,Martinique - count,8
transacao_pais,Mauritania,
transacao_pais,Mauritania - count,3
transacao_pais,Mauritius,
transacao_pais,Mauritius - count,7
transacao_pais,Mayotte,
transacao_pais,Mayotte - count,4
transacao_pais,Mexico,
transacao_pais,Mexico - count,5
transacao_pais,Micronesia,
transacao_pais,Micronesia - count,1
transacao_pais,Moldova,
transacao_pais,Moldova - count,2
transacao_pais,Monaco,
transacao_pais,Monaco - count,7
transacao_pais,Mongolia,
transacao_pais,Mongolia - count,3
transacao_pais,Montenegro,
transacao_pais,Montenegro - count,2
transacao_pais,Montserrat,
transacao_pais,Montserrat - count,1
transacao_pais,Morocco,
transacao_pais,Morocco - count,4
transacao_pais,Mozambique,
transacao_pais,Mozambique - count,6
transacao_pais,Myanmar,
transacao_pais,Myanmar - count,3
transacao_pais,Namibia,
transacao_pais,Namibia - count,1
transacao_pais,Nauru,
transacao_pais,Nauru - count,3
transacao_pais,Nepal,
transacao_pais,Nepal - count,3
transacao_pais,Netherlands,
transacao_pais,Netherlands - count,5
transacao_pais,Netherlands Antilles,
transacao_pais,Netherlands Antilles - count,2
transacao_pais,New Caledonia,
transacao_pais,New Caledonia - count,4
transacao_pais,New Zealand,
transacao_pais,New Zealand - count,3
transacao_pais,Nicaragua,
transacao_pais,Nicaragua - count,5
transacao_pais,Niger,
transacao_pais,Niger - count,2
transacao_pais,Nigeria,
transacao_pais,Nigeria - count,5
transacao_pais,Niue,
transacao_pais,Niue - count,3
transacao_pais,Norfolk Island,
transacao_pais,Norfolk Island - count,5
transacao_pais,North Macedonia,
transacao_pais,North Macedonia - count,4
transacao_pais,Northern Mariana Islands,
transacao_pais,Northern Mariana Islands - count,6
transacao_pais,Norway,
transacao_pais,Norway - count,6
transacao_pais,Oman,
transacao_pais,Oman - count,4
transacao_pais,Pakistan,
transacao_pais,Pakistan - count,7
transacao_pais,Palau,
transacao_pais,Palau - count,2
transacao_pais,Palestinian Territory,
transacao_pais,Palestinian Territory - count,6
transacao_pais,Panama,
transacao_pais,Panama - count,2
transacao_pais,Papua New Guinea,
transacao_pais,Papua New Guinea - count,3
transacao_pais,Paraguay,
transacao_pais,Paraguay - count,2
transacao_pais,Peru,
transacao_pais,Peru - count,5
transacao_pais,Philippines,
transacao_pais,Philippines - count,5
transacao_pais,Pitcairn Islands,
transacao_pais,Pitcairn Islands - count,2
transacao_pais,Poland,
transacao_pais,Poland - count,3
transacao_pais,Portugal,
transacao_pais,Portugal - count,1
transacao_pais,Puerto Rico,
transacao_pais,Puerto Rico - count,1
transacao_pais,Qatar,
transacao_pais,Qatar - count,4
transacao_pais,Reunion,
transacao_pais,Reunion - count,5
transacao_pais,Romania,
transacao_pais,Romania - count,6
transacao_pais,Russian Federation,
transacao_pais,Russian Federation - count,1
transacao_pais,Rwanda,
transacao_pais,Rwanda - count,3
transacao_pais,Saint Barthelemy,
transacao_pais,Saint Barthelemy - count,6
transacao_pais,Saint Helena,
transacao_pais,Saint Helena - count,5
transacao_pais,Saint Kitts and Nevis,
transacao_pais,Saint Kitts and Nevis - count,3
transacao_pais,Saint Lucia,
transacao_pais,Saint Lucia - count,1
transacao_pais,Saint Martin,
transacao_pais,Saint Martin - count,3
transacao_pais,Saint Pierre and Miquelon,
transacao_pais,Saint Pierre and Miquelon - count,3
transacao_pais,Saint Vincent and the Grenadines,
transacao_pais,Saint Vincent and the Grenadines - count,9
transacao_pais,Samoa,
transacao_pais,Samoa - count,4
transacao_pais,San Marino,
transacao_pais,San Marino - count,8
transacao_pais,Sao Tome and Principe,
transacao_pais,Sao Tome and Principe - count,2
transacao_pais,Saudi Arabia,
transacao_pais,Saudi Arabia - count,5
transacao_pais,Senegal,
transacao_pais,Senegal - count,4
transacao_pais,Serbia,
transacao_pais,Serbia - count,4
transacao_pais,Seychelles,
transacao_pais,Seychelles - count,3
transacao_pais,Sierra Leone,
transacao_pais,Sierra Leone - count,7
transacao_pais,Singapore,
transacao_pais,Singapore - count,5
transacao_pais,Slovakia (Slovak Republic),
transacao_pais,Slovakia (Slovak Republic) - count,5
transacao_pais,Slovenia,
transacao_pais,Slovenia - count,9
transacao_pais,Solomon Islands,
transacao_pais,Solomon Islands - count,3
transacao_pais,Somalia,
transacao_pais,Somalia - count,6
transacao_pais,South Africa,
transacao_pais,South Africa - count,4
transacao_pais,South Georgia and the South Sandwich Islands,
transacao_pais,South Georgia and the South Sandwich Islands - count,6
transacao_pais,Spain,
transacao_pais,Spain - count,3
transacao_pais,Sri Lanka,
transacao_pais,Sri Lanka - count,3
transacao_pais,Sudan,
transacao_pais,Sudan - count,5
transacao_pais,Suriname,
transacao_pais,Suriname - count,4
transacao_pais,Svalbard & Jan Mayen Islands,
transacao_pais,Svalbard & Jan Mayen Islands - count,3
transacao_pais,Swaziland,
transacao_pais,Swaziland - count,1
transacao_pais,Sweden,
transacao_pais,Sweden - count,9
transacao_pais,Switzerland,
transacao_pais,Switzerland - count,2
transacao_pais,Syrian Arab Republic,
transacao_pais,Syrian Arab Republic - count,4
transacao_pais,Taiwan,
transacao_pais,Taiwan - count,1
transacao_pais,Tajikistan,
transacao_pais,Tajikistan - count,7
transacao_pais,Tanzania,
transacao_pais,Tanzania - count,5
transacao_pais,Thailand,
transacao_pais,Thailand - count,2
transacao_pais,Timor-Leste,
transacao_pais,Timor-Leste - count,5
transacao_pais,Togo,
transacao_pais,Togo - count,4
transacao_pais,Tokelau,
transacao_pais,Tokelau - count,3
transacao_pais,Tonga,
transacao_pais,Tonga - count,4
transacao_pais,Trinidad and Tobago,
transacao_pais,Trinidad and Tobago - count,6
transacao_pais,Tunisia,
transacao_pais,Tunisia - count,2
transacao_pais,Turkey,
transacao_pais,Turkey - count,3
transacao_pais,Turkmenistan,
transacao_pais,Turkmenistan - count,3
transacao_pais,Turks and Caicos Islands,
transacao_pais,Turks and Caicos Islands - count,3
transacao_pais,Tuvalu,
transacao_pais,Tuvalu - count,7
transacao_pais,Uganda,
transacao_pais,Uganda - count,8
transacao_pais,Ukraine,
transacao_pais,Ukraine - count,1
transacao_pais,United Arab Emirates,
transacao_pais,United Arab Emirates - count,5
transacao_pais,United Kingdom,
transacao_pais,United Kingdom - count,4
transacao_pais,United States Minor Outlying Islands,
transacao_pais,United States Minor Outlying Islands - count,4
transacao_pais,United States Virgin Islands,
transacao_pais,United States Virgin Islands - count,3
transacao_pais,United States of America,
transacao_pais,United States of America - count,9
transacao_pais,Uruguay,
transacao_pais,Uruguay - count,5
transacao_pais,Uzbekistan,
transacao_pais,Uzbekistan - count,3
transacao_pais,Vanuatu,
transacao_pais,Vanuatu - count,4
transacao_pais,Venezuela,
transacao_pais,Venezuela - count,4
transacao_pais,Vietnam,
transacao_pais,Vietnam - count,4
transacao_pais,Wallis and Futuna,
transacao_pais,Wallis and Futuna - count,5
transacao_pais,Western Sahara,
transacao_pais,Western Sahara - count,2
transacao_pais,Yemen,
transacao_pais,Yemen - count,4
transacao_pais,Zambia,
transacao_pais,Zambia - count,3
transacao_pais,Zimbabwe,
transacao_pais,Zimbabwe - count,6
media_preco_produto,About argue tend morning.,
media_preco_produto,About argue tend morning. - count,1
media_preco_produto,About argue tend morning. - sum,46708
media_preco_produto,About argue tend morning. - avg,46708.0
media_preco_produto,About professional south good thing.,
media_preco_produto,About professional south good thing. - count,1
media_preco_produto,About professional south good thing. - sum,44172
media_preco_produto,About professional south good thing. - avg,44172.0
media_preco_produto,Above bag moment car first. Top appear trip.,
media_preco_produto,Above bag moment car first. Top appear trip. - count,1
media_preco_produto,Above bag moment car first. Top appear trip. - sum,39395
media_preco_produto,Above bag moment car first. Top appear trip. - avg,39395.0
media_preco_produto,According land they.,
media_preco_produto,According land they. - count,1
media_preco_produto,According land they. - sum,11080
media_preco_produto,According land they. - avg,11080.0
media_preco_produto,According money civil Democrat begin.,
media_preco_produto,According money civil Democrat begin. - count,1
media_preco_produto,According money civil Democrat begin. - sum,21037
media_preco_produto,According money civil Democrat begin. - avg,21037.0
media_preco_produto,Account toward sure rest politics candidate.,
media_preco_produto,Account toward sure rest politics candidate. - count,1
media_preco_produto,Account toward sure rest politics candidate. - sum,87523
media_preco_produto,Account toward sure rest politics candidate. - avg,87523.0
media_preco_produto,Account trade between key someone both form.,
media_preco_produto,Account trade between key someone both form. - count,1
media_preco_produto,Account trade between key someone both form. - sum,94928
media_preco_produto,Account trade between key someone both form. - avg,94928.0
media_preco_produto,Account upon beautiful.,
media_preco_produto,Account upon beautiful. - count,1
media_preco_produto,Account upon beautiful. - sum,44439
media_preco_produto,Account upon beautiful. - avg,44439.0
media_preco_produto,Across eye argue leave.,
media_preco_produto,Across eye argue leave. - count,1
media_preco_produto,Across eye argue leave. - sum,92314
media_preco_produto,Across eye argue leave. - avg,92314.0
media_preco_produto,Act direction news operation room about exactly.,
media_preco_produto,Act direction news operation room about exactly. - count,1
media_preco_produto,Act direction news operation room about exactly. - sum,95852
media_preco_produto,Act direction news operation room about exactly. - avg,95852.0
media_preco_produto,Actually commercial research sport any.,
media_preco_produto,Actually commercial research sport any. - count,1
media_preco_produto,Actually commercial research sport any. - sum,42996
media_preco_produto,Actually commercial research sport any. - avg,42996.0
media_preco_produto,Address company civil determine great Mr adult.,
media_preco_produto,Address company civil determine great Mr adult. - count,1
media_preco_produto,Address company civil determine great Mr adult. - sum,51962
media_preco_produto,Address company civil determine great Mr adult. - avg,51962.0
media_preco_produto,Administration perform city feel ability hear.,
media_preco_produto,Administration perform city feel ability hear. - count,1
media_preco_produto,Administration perform city feel ability hear. - sum,13059
media_preco_produto,Administration perform city feel ability hear. - avg,13059.0
media_preco_produto,Administration pressure TV fine financial light.,
media_preco_produto,Administration pressure TV fine financial light. - count,1
media_preco_produto,Administration pressure TV fine financial light. - sum,61511
media_preco_produto,Administration pressure TV fine financial light. - avg,61511.0
media_preco_produto,Admit low student think star eat.,
media_preco_produto,Admit low student think star eat. - count,1
media_preco_produto,Admit low student think star eat. - sum,20372
media_preco_produto,Admit low student think star eat. - avg,20372.0
media_preco_produto,Adult bill perform mouth likely market none.,
media_preco_produto,Adult bill perform mouth likely market none. - count,1
media_preco_produto,Adult bill perform mouth likely market none. - sum,53144
media_preco_produto,Adult bill perform mouth likely market none. - avg,53144.0
media_preco_produto,Affect certainly exist ask south exactly door.,
media_preco_produto,Affect certainly exist ask south exactly door. - count,1
media_preco_produto,Affect certainly exist ask south exactly door. - sum,98472
media_preco_produto,Affect certainly exist ask south exactly door. - avg,98472.0
media_preco_produto,After he trial fact in property budget.,
media_preco_produto,After he trial fact in property budget. - count,1
media_preco_produto,After he trial fact in property budget. - sum,51470
media_preco_produto,After he trial fact in property budget. - avg,51470.0
media_preco_produto,Age coach marriage smile.,
media_preco_produto,Age coach marriage smile. - count,1
media_preco_produto,Age coach marriage smile. - sum,61831
media_preco_produto,Age coach marriage smile. - avg,61831.0
media_preco_produto,Age source good next rule whether.,
media_preco_produto,Age source good next rule whether. - count,1
media_preco_produto,Age source good next rule whether. - sum,71781
media_preco_produto,Age source good next rule whether. - avg,71781.0
media_preco_produto,Agent cup blood magazine suggest ten.,
media_preco_produto,Agent cup blood magazine suggest ten. - count,1
media_preco_produto,Agent cup blood magazine suggest ten. - sum,75349
media_preco_produto,Agent cup blood magazine suggest ten. - avg,75349.0
media_preco_produto,Agreement player less agreement skill and.,
media_preco_produto,Agreement player less agreement skill and. - count,1
media_preco_produto,Agreement player less agreement skill and. - sum,29115
media_preco_produto,Agreement player less agreement skill and. - avg,29115.0
media_preco_produto,Ahead commercial indicate article speak.,
media_preco_produto,Ahead commercial indicate article speak. - count,1
media_preco_produto,Ahead commercial indicate article speak. - sum,13770
media_preco_produto,Ahead commercial indicate article speak. - avg,13770.0
media_preco_produto,Ahead mind heavy wind.,
media_preco_produto,Ahead mind heavy wind. - count,1
media_preco_produto,Ahead mind heavy wind. - sum,10567
media_preco_produto,Ahead mind heavy wind. - avg,10567.0
media_preco_produto,All point investment tree.,
media_preco_produto,All point investment tree. - count,1
media_preco_produto,All point investment tree. - sum,84940
media_preco_produto,All point investment tree. - avg,84940.0
media_preco_produto,Allow central PM its our.,
media_preco_produto,Allow central PM its our. - count,1
media_preco_produto,Allow central PM its our. - sum,97211
media_preco_produto,Allow central PM its our. - avg,97211.0
media_preco_produto,Alone plant bit our.,
media_preco_produto,Alone plant bit our. - count,1
media_preco_produto,Alone plant bit our. - sum,24556
media_preco_produto,Alone plant bit our. - avg,24556.0
media_preco_produto,Along number guess space structure her.,
media_preco_produto,Along number guess space structure her. - count,1
media_preco_produto,Along number guess space structure her. - sum,43199
media_preco_produto,Along number guess space structure her. - avg,43199.0
media_preco_produto,Already administration team much.,
media_preco_produto,Already administration team much. - count,1
media_preco_produto,Already administration team much. - sum,49368
media_preco_produto,Already administration team much. - avg,49368.0
media_preco_produto,Already budget bag test test pressure there.,
media_preco_produto,Already budget bag test test pressure there. - count,1
media_preco_produto,Already budget bag test test pressure there. - sum,57034
media_preco_produto,Already budget bag test test pressure there. - avg,57034.0
media_preco_produto,Also rest sort party though.,
media_preco_produto,Also rest sort party though. - count,1
media_preco_produto,Also rest sort party though. - sum,43357
media_preco_produto,Also rest sort party though. - avg,43357.0
media_preco_produto,Although record become early hour left.,
media_preco_produto,Although record become early hour left. - count,1
media_preco_produto,Although record become early hour left. - sum,57005
media_preco_produto,Although record become early hour left. - avg,57005.0
media_preco_produto,American risk thank look case customer end.,
media_preco_produto,American risk thank look case customer end. - count,1
media_preco_produto,American risk thank look case customer end. - sum,32971
media_preco_produto,American risk thank look case customer end. - avg,32971.0
media_preco_produto,Amount alone term truth among offer security.,
media_preco_produto,Amount alone term truth among offer security. - count,1
media_preco_produto,Amount alone term truth among offer security. - sum,78034
media_preco_produto,Amount alone term truth among offer security. - avg,78034.0
media_preco_produto,Analysis example challenge.,
media_preco_produto,Analysis example challenge. - count,1
media_preco_produto,Analysis example challenge. - sum,59793
media_preco_produto,Analysis example challenge. - avg,59793.0
media_preco_produto,And material leave capital budget either.,
media_preco_produto,And material leave capital budget either. - count,1
media_preco_produto,And material leave capital budget either. - sum,91323
media_preco_produto,And material leave capital budget either. - avg,91323.0
media_preco_produto,Animal last change service class.,
media_preco_produto,Animal last change service class. - count,1
media_preco_produto,Animal last change service class. - sum,91580
media_preco_produto,Animal last change service class. - avg,91580.0
media_preco_produto,Any write few reason candidate store great.,
media_preco_produto,Any write few reason candidate store great. - count,1
media_preco_produto,Any write few reason candidate store great. - sum,79394
media_preco_produto,Any write few reason candidate store great. - avg,79394.0
media_preco_produto,Appear build campaign dark ready.,
media_preco_produto,Appear build campaign dark ready. - count,1
media_preco_produto,Appear build campaign dark ready. - sum,71200
media_preco_produto,Appear build campaign dark ready. - avg,71200.0
media_preco_produto,Apply new any team think suddenly seek.,
media_preco_produto,Apply new any team think suddenly seek. - count,1
media_preco_produto,Apply new any team think suddenly seek. - sum,60420
media_preco_produto,Apply new any team think suddenly seek. - avg,60420.0
media_preco_produto,Approach fear maintain organization song.,
media_preco_produto,Approach fear maintain organization song. - count,1
media_preco_produto,Approach fear maintain organization song. - sum,11029
media_preco_produto,Approach fear maintain organization song. - avg,11029.0
media_preco_produto,Approach pay mission beat.,
media_preco_produto,Approach pay mission beat. - count,1
media_preco_produto,Approach pay mission beat. - sum,74751
media_preco_produto,Approach pay mission beat. - avg,74751.0
media_preco_produto,Approach tell try able door hair stay.,
media_preco_produto,Approach tell try able door hair stay. - count,1
media_preco_produto,Approach tell try able door hair stay. - sum,92022
media_preco_produto,Approach tell try able door hair stay. - avg,92022.0
media_preco_produto,Area door high compare.,
media_preco_produto,Area door high compare. - count,1
media_preco_produto,Area door high compare. - sum,53048
media_preco_produto,Area door high compare. - avg,53048.0
media_preco_produto,Area subject everything necessary suggest.,
media_preco_produto,Area subject everything necessary suggest. - count,1
media_preco_produto,Area subject everything necessary suggest. - sum,62318
media_preco_produto,Area subject everything necessary suggest. - avg,62318.0
media_preco_produto,Arm military join once. Entire glass future.,
media_preco_produto,Arm military join once. Entire glass future. - count,1
media_preco_produto,Arm military join once. Entire glass future. - sum,43678
media_preco_produto,Arm military join once. Entire glass future. - avg,43678.0
media_preco_produto,Around attack total world analysis play sound.,
media_preco_produto,Around attack total world analysis play sound. - count,1
media_preco_produto,Around attack total world analysis play sound. - sum,29095
media_preco_produto,Around attack total world analysis play sound. - avg,29095.0
media_preco_produto,Art collection these job. Event staff door this.,
media_preco_produto,Art collection these job. Event staff door this. - count,1
media_preco_produto,Art collection these job. Event staff door this. - sum,42551
media_preco_produto,Art collection these job. Event staff door this. - avg,42551.0
media_preco_produto,Art sound national water start perform.,
media_preco_produto,Art sound national water start perform. - count,1
media_preco_produto,Art sound national water start perform. - sum,95037
media_preco_produto,Art sound national water start perform. - avg,95037.0
media_preco_produto,Article heart lead near meet hear.,
media_preco_produto,Article heart lead near meet hear. - count,1
media_preco_produto,Article heart lead near meet hear. - sum,86480
media_preco_produto,Article heart lead near meet hear. - avg,86480.0
media_preco_produto,Article these beyond again dinner.,
media_preco_produto,Article these beyond again dinner. - count,1
media_preco_produto,Article these beyond again dinner. - sum,73840
media_preco_produto,Article these beyond again dinner. - avg,73840.0
media_preco_produto,Artist environment with interview.,
media_preco_produto,Artist environment with interview. - count,1
media_preco_produto,Artist environment with interview. - sum,78554
media_preco_produto,Artist environment with interview. - avg,78554.0
media_preco_produto,Artist leave music rather yes start site.,
media_preco_produto,Artist leave music rather yes start site. - count,1
media_preco_produto,Artist leave music rather yes start site. - sum,88348
media_preco_produto,Artist leave music rather yes start site. - avg,88348.0
media_preco_produto,Artist matter PM source avoid.,
media_preco_produto,Artist matter PM source avoid. - count,1
media_preco_produto,Artist matter PM source avoid. - sum,93986
media_preco_produto,Artist matter PM source avoid. - avg,93986.0
media_preco_produto,As benefit soldier support check teacher concern.,
media_preco_produto,As benefit soldier support check teacher concern. - count,1
media_preco_produto,As benefit soldier support check teacher concern. - sum,31650
media_preco_produto,As benefit soldier support check teacher concern. - avg,31650.0
media_preco_produto,Attack stage local power family unit.,
media_preco_produto,Attack stage local power family unit. - count,1
media_preco_produto,Attack stage local power family unit. - sum,84273
media_preco_produto,Attack stage local power family unit. - avg,84273.0
media_preco_produto,Attorney loss fly into operation herself.,
media_preco_produto,Attorney loss fly into operation herself. - count,1
media_preco_produto,Attorney loss fly into operation herself. - sum,71486
media_preco_produto,Attorney loss fly into operation herself. - avg,71486.0
media_preco_produto,Attorney team white at should among.,
media_preco_produto,Attorney team white at should among. - count,1
media_preco_produto,Attorney team white at should among. - sum,54781
media_preco_produto,Attorney team white at should among. - avg,54781.0
media_preco_produto,Author lawyer way everybody executive model.,
media_preco_produto,Author lawyer way everybody executive model. - count,1
media_preco_produto,Author lawyer way everybody executive model. - sum,25348
media_preco_produto,Author lawyer way everybody executive model. - avg,25348.0
media_preco_produto,Authority pattern particularly will behind.,
media_preco_produto,Authority pattern particularly will behind. - count,1
media_preco_produto,Authority pattern particularly will behind. - sum,63010
media_preco_produto,Authority pattern particularly will behind. - avg,63010.0
media_preco_produto,Available price him outside.,
media_preco_produto,Available price him outside. - count,1
media_preco_produto,Available price him outside. - sum,35048
media_preco_produto,Available price him outside. - avg,35048.0
media_preco_produto,Away itself than impact particular join agent.,
media_preco_produto,Away itself than impact particular join agent. - count,1
media_preco_produto,Away itself than impact particular join agent. - sum,89814
media_preco_produto,Away itself than impact particular join agent. - avg,89814.0
